d,cuerdas,dr,at,cuerdas.1,dr.1,at.1
1,0.0730,64.0,0.0527,72.0,0.055,0.0028
2,0.0860,56.0,0.0628,64.0,0.0657,0.0039
3,0.0990,48.0,0.0719,56.0,0.0758,0.0052
4,0.1120,40.0,0.0795,48.0,0.0849,0.0066
5,0.1250,40.0,0.0925,44.0,0.0955,0.0083
6,0.1380,32.0,0.0974,40.0,0.1055,0.0101
8,0.1640,32.0,0.1234,36.0,0.1279,0.0147
10,0.1900,24.0,0.1359,32.0,0.1494,0.02
12,0.2160,24.0,0.1619,28.0,0.1696,0.0258
1/4,0.2500,20.0,0.185,28.0,0.2036,0.0364
5/16,0.3125,18.0,0.2403,24.0,0.2584,0.0581
3/8,0.3750,16.0,0.2938,24.0,0.3209,0.0878
7/16,0.4375,14.0,0.3447,20.0,0.3725,0.1187
1/2,0.5000,13.0,0.4001,20.0,0.435,0.16
9/16,0.5625,12.0,0.4542,18.0,0.4903,0.203
5/8,0.6250,11.0,0.5069,18.0,0.5528,0.256
3/4,0.7500,10.0,0.6201,16.0,0.6688,0.373
7/8,0.8750,0.7307,14.0,0.7822,0.5095,
1,1.0000,0.8376,12.0,0.8917,0.663,
1,1/8,1.125,0.9394,12.0,1.0167,0.8557
1,1/4,1.25,1.0644,12.0,1.1417,1.0729
1,3/8,1.375,1.1585,12.0,1.2667,1.3147
1,1/2,1.5,1.2835,12.0,1.3917,1.581
